,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
902,49470,Magic: The Gathering - Duels of the Planeswalkers 2012,2011-06-15,8,0,0,1,0,26,935,935,0.0,350000.0,0.0,800,0.88125,9,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
954,60600,ProtoGalaxy,2010-10-06,9,0,0,0,1,33,33,33,0.0,75000.0,0.0,52,0.5769230769230769,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,65540,Gothic 1,2001-03-15,18,0,1,0,0,0,409,412,0.0,350000.0,0.0,3919,0.8665475886705792,20,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
1022,71340,Sonic Generations Collection,2011-11-03,8,0,0,0,1,49,165,169,0.0,750000.0,0.0,7510,0.9215712383488682,20,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1026,72900,Winter Voices,2010-10-29,9,0,0,0,1,64,0,0,0.0,75000.0,0.0,216,0.6435185185185185,11,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1125,107300,Breath of Death VII,2011-07-13,8,0,0,1,0,0,30,26,0.0,750000.0,0.0,1181,0.8416596104995766,18,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1126,107310,Cthulhu Saves the World,2011-07-13,8,0,0,1,0,0,351,388,0.0,750000.0,0.0,3090,0.9281553398058252,19,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
1142,110500,Data Jammers: FastForward,2011-10-24,8,0,0,0,1,21,0,0,0.0,75000.0,0.0,80,0.675,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,200960,Geneforge 1,2001-12-01,18,1,0,0,0,0,0,0,0.0,150000.0,0.0,285,0.9403508771929825,11,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1186,200980,Geneforge 2,2003-07-01,16,0,0,1,0,0,0,0,0.0,75000.0,0.0,35,0.9142857142857143,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,200990,Geneforge 3,2005-04-01,14,0,1,0,0,0,0,0,0.0,75000.0,0.0,30,0.8666666666666667,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,201000,Geneforge 4: Rebellion,2006-11-01,13,0,0,0,1,0,0,0,0.0,75000.0,0.0,26,0.9230769230769231,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,201010,Geneforge 5: Overthrow,2008-11-01,11,0,0,0,1,0,0,0,0.0,150000.0,0.0,66,0.9090909090909091,7,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,201070,Revelations 2012,2012-04-23,7,0,1,0,0,47,8,8,0.0,35000.0,0.0,321,0.5856697819314641,5,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,206020,Avernum 4,2012-05-11,7,0,1,0,0,0,0,0,0.0,75000.0,0.0,65,0.8461538461538461,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1314,208140,Endless Space® - Collection,2012-07-04,7,0,0,1,0,93,1102,352,0.0,1500000.0,0.0,7125,0.8011228070175439,20,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1330,209000,Batman™: Arkham Origins,2013-10-24,6,0,0,0,1,60,538,443,0.0,3500000.0,0.0,23884,0.8526628705409479,20,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1338,209330,A Valley Without Wind,2012-04-24,7,0,1,0,0,98,84,84,0.0,350000.0,0.0,458,0.5938864628820961,20,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1395,213390,Atooms to Moolecules Demo,2012-04-06,7,0,1,0,0,0,0,0,0.0,10000.0,0.0,15,0.6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,225600,Blade Symphony,2014-05-07,5,0,1,0,0,26,413,370,0.0,350000.0,0.0,4666,0.6705957993999143,20,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1608,228200,Company of Heroes,2006-09-11,13,0,0,0,1,0,1475,465,0.0,750000.0,0.0,2813,0.8979736935655883,8,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1612,228320,A Valley Without Wind 2,2013-02-18,6,1,0,0,0,210,0,0,0.0,150000.0,0.0,191,0.49214659685863876,20,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1675,233510,Lunnye Devitsy,2009-07-01,10,0,0,1,0,10,82,82,0.0,35000.0,0.0,155,0.6645161290322581,6,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1697,234820,Driver Fusion - The Best Driver & Device Solution,2013-05-06,6,0,1,0,0,12,0,0,0.0,10000.0,0.0,272,0.6764705882352942,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,245410,Wizardry 6: Bane of the Cosmic Forge,2013-09-10,6,0,0,0,1,0,0,0,0.0,75000.0,0.0,118,0.6949152542372882,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1868,245430,Wizardry 7: Crusaders of the Dark Savant,2013-09-10,6,0,0,0,1,0,0,0,0.0,75000.0,0.0,94,0.7553191489361702,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1885,246820,Jeklynn Heights,2016-05-25,3,0,1,0,0,0,0,0,0.0,10000.0,0.0,18,0.7777777777777778,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,253510,WARMACHINE: Tactics,2014-11-20,5,0,0,0,1,121,273,273,0.0,150000.0,0.0,1019,0.450441609421001,14,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,254300,Dofus,2016-11-15,3,0,0,0,1,1448,244,244,0.0,75000.0,0.0,366,0.7213114754098361,8,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2249,263100,9.03m,2013-11-20,6,0,0,0,1,0,17,17,0.0,35000.0,0.0,967,0.8314374353671148,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2323,265690,NaissanceE,2014-02-13,5,1,0,0,0,0,8,9,0.0,150000.0,0.0,1369,0.7772096420745069,20,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0
2361,267130,Star Swarm Stress Test,2014-01-30,5,1,0,0,0,0,0,0,0.0,350000.0,0.0,259,0.8957528957528957,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2472,271240,Offworld Trading Company - Free Multiplayer,2016-04-28,3,0,1,0,0,256,237,255,0.0,750000.0,0.0,3776,0.7441737288135594,20,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2705,282880,FaeVerse Alchemy,2014-04-02,5,0,1,0,0,15,497,497,0.0,75000.0,0.0,291,0.6701030927835051,6,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2914,290060,Glitchspace,2016-05-05,3,0,1,0,0,0,0,0,0.0,10000.0,0.0,286,0.7482517482517482,9,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
