,appid,name,release_date,yrs_released,winter,spring,summer,fall,achievements,average_playtime,median_playtime,price,avg_owners,revenue,total_ratings,perc_pos_ratings,tags_per_game,multi,co-op,cont_supp,steam_achiev,steam_tc,steam_cloud,indie,action,adventure,casual,strategy,simulation,rpg,puzzle,2d,great_soundtrack,atmospheric,vr,difficult,story_rich,free_to_play,anime,horror,platformer,pixel_graphics,violent
15014,651560,Clash of Robots,2017-11-09,2,0,0,0,1,20,0,0,6.99,10000.0,69900.0,11,0.45454545454545453,5,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15015,651610,Booty Diver,2017-09-20,2,0,0,0,1,0,0,0,3.99,10000.0,39900.0,1,1.0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15016,651640,The Spook Inspectors,2019-01-25,0,1,0,0,0,6,0,0,2.89,10000.0,28900.0,11,0.9090909090909091,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15017,651650,Dunia: Masters,2017-06-15,2,0,0,1,0,0,0,0,0.79,10000.0,7900.0,12,0.5,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15018,651660,Halcyon 6: Starbase Commander (LIGHTSPEED EDITION),2017-08-09,2,0,0,1,0,82,195,245,10.99,10000.0,109900.0,393,0.7735368956743003,8,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15019,651680,Shalnor Legends: Sacred Lands,2018-01-25,1,1,0,0,0,50,0,0,6.99,10000.0,69900.0,24,0.7916666666666666,20,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
15020,651690,Double Play: 2-Player VR Baseball,2017-07-21,2,0,0,1,0,16,0,0,6.99,10000.0,69900.0,4,0.75,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15021,651820,Little Miss Lonely,2017-06-12,2,0,0,1,0,0,0,0,3.99,10000.0,39900.0,4,0.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15022,651970,NEON GALAXY,2017-07-05,2,0,0,1,0,18,0,0,1.59,10000.0,15900.0,5,0.6,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15023,651990,The Montana Chronicles: Montana's Croatoa,2017-07-07,2,0,0,1,0,22,0,0,1.69,10000.0,16900.0,1,1.0,4,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
